,RAdeg,DEdeg,Z,LOGMSTAR,LOGMSTARERR,LOGSFRSED,LOGSFRSEDERR
273,188.50523,36.86796,0.0403,10.496,0.018,0.052,0.039
274,224.70834,20.638184,0.0445,10.416,0.038,0.227,0.081
275,202.1577,42.690727,0.0417,10.13,0.03,-0.194,0.158
276,194.81721,23.808441,0.089,10.965,0.02,-2.001,0.508
277,235.11626,46.373814,0.0607,10.573,0.046,0.316,0.166
278,236.43687,30.549965,0.0583,10.761,0.032,0.2,0.438
279,237.89926,34.530373,0.0736,10.665,0.023,0.102,0.15
280,234.63058,21.823757,0.0413,10.546,0.024,0.156,0.055
281,54.325775,-5.921077,0.0345,9.983,0.041,-0.635,0.372
282,144.97302,27.480133,0.06,10.85,0.035,0.681,0.093
283,176.71613,33.150993,0.035,9.653,0.061,-0.019,0.071
284,26.34734,17.650572,0.1751,11.345,0.018,-1.187,0.751
285,27.970245,12.601857,0.0446,10.442,0.026,0.089,0.186
286,142.39685,24.59044,0.0304,10.479,0.02,0.105,0.084
287,20.818096,-10.776189,0.0428,10.386,0.019,-0.142,0.041
288,158.47363,24.022099,0.0179,10.121,0.015,-0.193,0.306
289,50.506523,-7.882712,0.0322,10.359,0.025,-0.272,0.059
290,241.17268,33.433613,0.0593,10.477,0.038,-0.2,0.434
291,184.82442,57.22704,0.0824,11.239,0.013,0.676,0.028
292,133.75983,26.675356,0.0274,10.086,0.031,-0.13,0.072
293,144.05963,17.48479,0.0285,10.46,0.016,0.102,0.049
294,222.56966,17.372423,0.0446,10.259,0.048,-0.018,0.283
295,244.73035,51.47577,0.0573,10.849,0.014,-0.044,0.071
296,212.6957,31.721434,0.0633,10.429,0.037,0.216,0.149
297,163.14214,39.282333,0.0358,10.676,0.017,0.001,0.069
298,251.48897,39.985832,0.0302,10.238,0.035,-0.019,0.044
299,201.60202,0.036436,0.0834,11.139,0.036,-0.236,0.436
300,253.4588,23.463621,0.0572,10.635,0.025,-0.632,0.566
302,170.18282,46.821102,0.0544,10.868,0.026,0.237,0.302
303,217.16684,17.024761,0.0499,10.694,0.029,0.454,0.12
305,173.10522,14.62021,0.082,11.097,0.025,-1.704,0.515
307,239.53946,12.045887,0.0415,10.407,0.036,0.014,0.271
308,191.69392,42.939274,0.111,11.1,0.04,-0.246,0.65
309,167.28644,26.97061,0.0468,10.351,0.016,-0.223,0.034
310,235.49077,18.637522,0.0719,11.144,0.013,0.225,0.08
311,153.71333,12.498982,0.1068,11.327,0.018,0.757,0.149
312,262.4838,53.477383,0.0524,10.755,0.029,-0.076,0.271
313,177.36781,56.483536,0.0643,10.533,0.036,0.28,0.208
314,136.76988,36.11296,0.0242,10.154,0.029,-0.139,0.168
315,145.1523,24.05283,0.065,11.305,0.016,0.565,0.081
316,118.6377,23.06309,0.0925,10.799,0.035,0.59,0.134
318,163.17989,20.996492,0.0545,10.605,0.033,0.109,0.349
319,233.65619,20.736055,0.0498,10.741,0.036,0.416,0.043
320,113.25311,39.418427,0.168,11.873,0.013,-1.022,0.531
321,155.21117,14.990502,0.0456,10.475,0.044,0.327,0.158
322,197.55127,40.186565,0.0779,11.049,0.004,0.475,0.003
323,191.68008,-0.710355,0.0821,11.264,0.009,0.718,0.028
324,211.11298,-1.274877,0.0535,10.557,0.029,0.318,0.063
325,200.09804,26.30922,0.0684,11.302,0.018,0.627,0.094
326,210.25984,26.196598,0.0647,10.789,0.012,0.26,0.018
328,222.05724,13.162477,0.0293,10.489,0.024,-0.045,0.194
329,182.19217,47.222694,0.0458,10.542,0.016,0.115,0.037
330,229.30745,34.620728,0.0612,10.754,0.03,0.306,0.18
331,244.45206,49.958447,0.0565,10.318,0.026,-0.003,0.135
332,226.43037,55.959663,0.0695,11.099,0.01,0.008,0.018
333,251.73233,43.425617,0.0574,10.79,0.019,0.264,0.052
334,137.11198,38.110226,0.0475,10.497,0.026,-0.092,0.141
335,154.45758,19.46338,0.0361,10.122,0.045,-0.122,0.219
336,223.5793,49.38333,0.038,10.54,0.023,-0.369,0.213
337,244.80092,33.2212,0.0332,10.086,0.022,-0.4,0.126
338,184.51584,4.465659,0.0801,10.714,0.02,0.043,0.119
339,160.43007,18.339525,0.0303,10.168,0.037,0.028,0.101
340,199.52321,31.56897,0.0499,10.305,0.038,-0.025,0.22
341,176.12431,55.57778,0.0559,10.882,0.036,0.701,0.165
342,234.14636,43.424892,0.0194,9.968,0.049,0.073,0.093
343,115.05835,44.08835,0.0683,10.456,0.035,0.321,0.088
344,226.45026,36.538593,0.0553,10.777,0.023,-0.759,0.789
345,218.85931,27.893217,0.176,11.825,0.034,0.157,0.777
346,195.94629,-2.689553,0.0822,11.009,0.02,0.368,0.13
348,158.29292,21.851496,0.0408,9.946,0.05,0.084,0.093
349,193.35854,-2.257231,0.0475,10.427,0.06,0.358,0.089
350,148.94362,32.429436,0.0216,10.319,0.022,-0.148,0.187
351,5.566519,-0.756861,0.0587,10.887,0.031,0.545,0.192
352,138.66405,26.699549,0.0408,10.297,0.035,0.145,0.088
353,223.49588,48.40476,0.1462,11.744,0.015,-0.868,0.522
354,122.71884,47.519905,0.0406,10.405,0.033,-0.128,0.214
355,158.23007,21.76189,0.0552,10.449,0.02,0.091,0.1
356,146.4391,33.87024,0.0224,9.911,0.05,0.099,0.056
357,175.69035,19.10784,0.082,11.047,0.019,0.524,0.086
358,333.55844,13.875658,0.0242,10.1,0.058,-0.75,0.894
359,179.50456,-2.177304,0.0818,11.408,0.011,0.596,0.02
360,201.66325,19.55602,0.0226,9.737,0.019,-0.99,0.198
